"_id","experiment","session","condition","lm_scenarios","tm_scenarios","ls_n","lt_n","ts_n","tt_n","d_n","ls_t","lt_t","ts_t","tt_t","d_t","draw_t","totalTime","subject","linear_score","triangular_score","linear_time","triangular_time","score_diff","time_diff","totalScore","demo1","demo2"
"ObjectId(""58e45c2bd46cc6fa347e5af3"")","experiment","lima","1","axis","longmire","5","10","4","9","2","151050","369462","127889","381998","432462","408778","2207844","0R4YC","15","13","520512","509887","-2","10625","30","{""Q0"":""Spanish"",""Q1"":""Third"",""Q2"":""Natural Sciences"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""20"",""Q1"":""Mexico""}"
"ObjectId(""58e45c2bd46cc6fa347e5af4"")","experiment","lima","1","axis","longmire","3","6","4","4","0","114073","221715","94052","379532","132615","649378","1904813","206ZK","9","8","335788","473584","-1","-137796","17","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""20"",""Q1"":""United States""}"
"ObjectId(""58e45c2bd46cc6fa347e5af5"")","experiment","lima","4","longmire","axis","4","6","3","9","1","122107","395127","155657","300196","202199","605034","2129981","B23GR","10","12","517234","455853","2","61381","23","{""Q0"":""English"",""Q1"":""Third"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""20"",""Q1"":""U.S.A""}"
"ObjectId(""58e45c2bd46cc6fa347e5af6"")","experiment","lima","3","axis","longmire","5","8","2","2","2","152128","362189","252189","678486","636963","49186","2467801","EU0SL","13","4","514317","930675","-9","-416358","19","{""Q0"":""Other"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""20"",""Q1"":""South Korea""}"
"ObjectId(""58e45c2bd46cc6fa347e5af7"")","reverse","lima","4","longmire","axis","4","6","3","3","0","96389","294984","145711","251399","164872","522766","1804003","R7ORQ","10","6","391373","397110","-4","-5737","16","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""United States""}"
"ObjectId(""58e45c2bd46cc6fa347e5af8"")","experiment","lima","4","longmire","axis","4","6","2","5","0","105075","452398","268984","527931","38102","625545","2291986","42RUW","10","7","557473","796915","-3","-239442","17","{""Q0"":""Other"",""Q1"":""Second"",""Q2"":""Fine Arts"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""20"",""Q1"":""South Korea""}"
"ObjectId(""58e45c2bd46cc6fa347e5af9"")","experiment","lima","1","longmire","axis","3","6","1","1","0","336657","985977","311847","679620","389090","84401","3270982","HQRRA","9","2","1322634","991467","-7","331167","11","{""Q0"":""English"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""United States""}"
"ObjectId(""58e45c2bd46cc6fa347e5afa"")","reverse","lima","1","axis","longmire","4","7","5","9","1","164208","325041","97042","428964","133941","371166","1804001","0MQD4","11","14","489249","526006","3","-36757","26","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""19"",""Q1"":""United States""}"
"ObjectId(""58e45c2bd46cc6fa347e5afb"")","experiment","lima","3","axis","longmire","3","9","4","8","2","149580","250953","167924","258598","94708","592696","1801278","XJH0T","12","12","400533","426522","0","-25989","26","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""20"",""Q1"":""United States""}"
"ObjectId(""58e45c2bd46cc6fa347e5afc"")","experiment","lima","1","longmire","axis","4","5","1","0","0","285326","447863","163648","501743","482930","199680","2848353","452JP","9","1","733189","665391","-8","67798","10","{""Q0"":""Mandarin or Cantonese"",""Q1"":""First"",""Q2"":""Math or Computer Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""China""}"
"ObjectId(""58e45c2bd46cc6fa347e5afd"")","experiment","lima","3","axis","longmire","3","9","4","7","1","222875","246556","196825","430994","283887","611849","2338888","Z2MDK","12","11","469431","627819","-1","-158388","24","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""23"",""Q1"":""United States""}"
"ObjectId(""58e45c2bd46cc6fa347e5afe"")","experiment","lima","3","longmire","axis","4","5","0","0","1","137919","327646","209482","339942","455864","267231","2723828","29438","9","0","465565","549424","-9","-83859","10","{""Q0"":""Other"",""Q1"":""Second"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""18"",""Q1"":""Nepal ""}"
"ObjectId(""58e45c2bd46cc6fa347e5aff"")","experiment","lima","1","axis","longmire","5","8","3","6","1","119716","277879","167874","283856","81729","559891","1782282","N87KU","13","9","397595","451730","-4","-54135","23","{""Q0"":""Other"",""Q1"":""Second"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""19"",""Q1"":""India""}"
