_id,experiment,session,condition,lm_scenarios,tm_scenarios,ls_n,lt_n,ts_n,tt_n,d_n,ls_t,lt_t,ts_t,tt_t,d_t,draw_t,totalTime,subject,linear_score,triangular_score,linear_time,triangular_time,score_diff,time_diff,totalScore,AGE,COUNTRY,LANGUAGE,YEAR,MAJOR,GENDER,PREFERENCE,,,
"ObjectId(""58ffef548c1cc23bab096a24"")",experiment,expert,4,longmire,axis,5,10,5,10,2,181298,539140,181467,347357,41727,281441,1678129,1J0CV,15,15,720438,528824,0,191614,32,22,Taiwan},Mandarin or Cantonese,Fourth,Social Sciences (incl. CogSci),Female,the second one (triangular)},,KAI,
"ObjectId(""58ffef548c1cc23bab096a25"")",experiment,expert,4,axis,longmire,5,7,5,7,2,147755,397317,114890,352570,34142,327791,1480664,V7F3B,12,12,545072,467460,0,77612,26,20,USA},English,Third,Social Sciences (incl. CogSci),Female,the second one (triangular)},,EVAN,
"ObjectId(""58ffef548c1cc23bab096a26"")",experiment,expert,4,longmire,axis,3,8,5,8,2,158954,535111,132943,337370,11187,457740,1777666,NOS98,11,13,694065,470313,2,223752,26,20,USA},Mandarin or Cantonese,Second,Social Sciences (incl. CogSci),Female,the second one (triangular)},,HAZEL,
"ObjectId(""58ffef548c1cc23bab096a27"")",experiment,expert,0,axis,longmire,4,6,5,6,2,217116,554872,129699,624081,98578,665210,2798663,KUPVH,10,11,771988,753780,1,18208,23,20,USA},English,Third,Social Sciences (incl. CogSci),Female,the second one (triangular)},,EVAN,
"ObjectId(""58ffef548c1cc23bab096a28"")",experiment,expert,0,axis,longmire,4,4,5,7,2,120068,251114,102579,369531,80910,525944,1759115,Y07OR,8,12,371182,472110,4,-100928,22,20,USA},Mandarin or Cantonese,Second,Social Sciences (incl. CogSci),Female,the second one (triangular)},,HAZEL,
"ObjectId(""58ffef548c1cc23bab096a29"")",experiment,expert,0,axis,longmire,5,10,5,10,2,208124,546168,152859,579118,124029,506847,2302199,8XZ5Z,15,15,754292,731977,0,22315,32,22,Taiwan},Mandarin or Cantonese,Fourth,Social Sciences (incl. CogSci),Female,the second one (triangular)},,KAI,
"ObjectId(""58ffef548c1cc23bab096a2a"")",experiment,expert,0,longmire,axis,4,8,2,4,1,274868,740917,271253,424998,124025,77149,2261980,PPACF,12,6,1015785,696251,-6,319534,19,22,Taiwan},Mandarin or Cantonese,Fourth,Social Sciences (incl. CogSci),Female,the second one (triangular)},,KAI,CUT THIS  - REDUNDANT
