"_id","experiment","session","condition","lm_scenarios","tm_scenarios","ls_n","lt_n","ts_n","tt_n","d_n","ls_t","lt_t","ts_t","tt_t","d_t","draw_t","totalTime","subject","linear_score","triangular_score","linear_time","triangular_time","score_diff","time_diff","totalScore","demo1","demo2"
"ObjectId(""58e45df9d46cc6fa347e8900"")","experiment","foxtrot","0","longmire","axis","5","7","4","8","0","124722","436649","314353","371009","194184","546082","2150131","GLAFZ","12","12","561371","685362","0","-123991","24","{""Q0"":""Spanish"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""USA""}"
"ObjectId(""58e45df9d46cc6fa347e8901"")","experiment","foxtrot","3","longmire","axis","5","6","4","8","2","127847","387040","235670","336611","721860","195512","2202805","GELJG","11","12","514887","572281","1","-57394","25","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""19"",""Q1"":""United States""}"
"ObjectId(""58e45df9d46cc6fa347e8902"")","experiment","foxtrot","3","longmire","axis","4","6","3","8","1","114659","505671","225099","304412","323366","426035","2474019","848ON","10","11","620330","529511","1","90819","22","{""Q0"":""Spanish"",""Q1"":""Fifth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""25"",""Q1"":""peru""}"
"ObjectId(""58e45df9d46cc6fa347e8903"")","experiment","foxtrot","0","axis","longmire","1","1","2","2","0","89195","146024","46732","141554","119487","830441","1510910","EBFQN","2","4","235219","188286","2","46933","6","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""usa""}"
"ObjectId(""58e45df9d46cc6fa347e8904"")","experiment","foxtrot","3","longmire","axis","3","6","1","0","1","156024","663731","520001","722194","170484","487373","3073885","G50Y1","9","1","819755","1242195","-8","-422440","11","{""Q0"":""English"",""Q1"":""Fifth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""29"",""Q1"":""USA""}"
"ObjectId(""58e45df9d46cc6fa347e8905"")","experiment","foxtrot","2","longmire","axis","5","5","5","8","1","159871","610422","394891","436450","863269","117880","3123454","B705H","10","13","770293","831341","3","-61048","24","{""Q0"":""Other"",""Q1"":""Fifth"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""23"",""Q1"":""USA""}"
"ObjectId(""58e45df9d46cc6fa347e8906"")","experiment","foxtrot","0","axis","longmire","5","6","5","8","1","133057","266800","147065","446711","175707","579052","2573197","G3HTX","11","13","399857","593776","2","-193919","25","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Second"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""20"",""Q1"":""cHINA""}"
"ObjectId(""58e45df9d46cc6fa347e8907"")","experiment","foxtrot","0","longmire","axis","5","7","1","1","0","87490","363800","225513","346761","165988","567159","2051062","TAL8M","12","2","451290","572274","-10","-120984","14","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""United States""}"
"ObjectId(""58e45df9d46cc6fa347e8908"")","experiment","foxtrot","2","axis","longmire","3","5","2","2","0","201411","376202","264009","595786","111108","431639","2669329","OYVRD","8","4","577613","859795","-4","-282182","12","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""USA""}"
"ObjectId(""58e45df9d46cc6fa347e8909"")","reverse","foxtrot","0","longmire","axis","5","9","4","8","1","138198","442784","266578","410230","420794","51659","1992120","12TUL","14","12","580982","676808","-2","-95826","27","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""19"",""Q1"":""USA""}"
"ObjectId(""58e45df9d46cc6fa347e890a"")","experiment","foxtrot","3","longmire","axis","4","6","0","0","0","104936","344619","137153","295682","356236","91927","1564211","5SOSL","10","0","449555","432835","-10","16720","10","{""Q0"":""Other"",""Q1"":""Third"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""Philippines""}"
"ObjectId(""58e45df9d46cc6fa347e890b"")","experiment","foxtrot","0","axis","longmire","4","8","5","9","2","124036","326720","149258","254976","89833","932825","2253576","B2DME","12","14","450756","404234","2","46522","28","{""Q0"":""English"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""United Kingdom""}"
