"_id","experiment","session","condition","lm_scenarios","tm_scenarios","ls_n","lt_n","ts_n","tt_n","d_n","ls_t","lt_t","ts_t","tt_t","d_t","draw_t","totalTime","subject","linear_score","triangular_score","linear_time","triangular_time","score_diff","time_diff","totalScore","demo1","demo2"
"ObjectId(""58e45c5cd46cc6fa347e638a"")","reverse","kilo","1","longmire","axis","4","7","4","5","1","139217","507482","231132","311977","156390","431875","2200341","N7XN2","11","9","646699","543109","-2","103590","21","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""21"",""Q1"":""US""}"
"ObjectId(""58e45c5cd46cc6fa347e638b"")","reverse","kilo","1","axis","longmire","4","6","5","9","2","141417","270184","143488","408931","115266","625665","2057688","13P8A","10","14","411601","552419","4","-140818","26","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""United States""}"
"ObjectId(""58e45c5cd46cc6fa347e638c"")","experiment","kilo","4","longmire","axis","4","9","5","8","2","157513","531920","200192","388854","182757","1495642","3190358","G56GO","13","13","689433","589046","0","100387","28","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""18"",""Q1"":""United States""}"
"ObjectId(""58e45c5cd46cc6fa347e638d"")","experiment","kilo","4","axis","longmire","3","5","2","9","0","155720","371870","138626","490572","197278","538755","2185049","CMXGY","8","11","527590","629198","3","-101608","19","{""Q0"":""Spanish"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""US""}"
"ObjectId(""58e45c5cd46cc6fa347e638e"")","experiment","kilo","1","longmire","axis","5","6","5","6","1","139589","459197","195076","405041","111210","765351","2377095","YJN84","11","11","598786","600117","0","-1331","23","{""Q0"":""Mandarin or Cantonese"",""Q1"":""First"",""Q2"":""Natural Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""18"",""Q1"":""Canada""}"
"ObjectId(""58e45c5cd46cc6fa347e638f"")","reverse","kilo","4","longmire","axis","5","8","3","9","2","98211","378950","158948","289614","137147","502802","1883856","4S72Y","13","12","477161","448562","-1","28599","27","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""18"",""Q1"":""United States of America""}"
"ObjectId(""58e45c5cd46cc6fa347e6390"")","experiment","kilo","1","longmire","axis","4","9","1","0","1","116961","303409","237318","320048","131706","758173","2164700","83WD2","13","1","420370","557366","-12","-136996","15","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Third"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""Hong Kong""}"
"ObjectId(""58e45c5cd46cc6fa347e6391"")","reverse","kilo","1","axis","longmire","4","5","5","8","2","139800","335541","139346","403998","209894","620815","2151051","V37VJ","9","13","475341","543344","4","-68003","24","{""Q0"":""Other"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""19"",""Q1"":""South Korea""}"
"ObjectId(""58e45c5cd46cc6fa347e6392"")","reverse","kilo","1","longmire","axis","5","7","4","7","1","117052","447765","196095","280265","152519","531376","2100668","XX3HL","12","11","564817","476360","-1","88457","24","{""Q0"":""Spanish"",""Q1"":""Second"",""Q2"":""Engineering"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""20"",""Q1"":""United States""}"
"ObjectId(""58e45c5cd46cc6fa347e6393"")","reverse","kilo","1","longmire","axis","4","5","1","0","2","78280","288559","357386","397239","106537","491972","2000882","GQ13P","9","1","366839","754625","-8","-387786","12","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Fine Arts"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""United States""}"
"ObjectId(""58e45c5cd46cc6fa347e6394"")","experiment","kilo","4","longmire","axis","4","9","3","7","0","132766","337178","144264","388913","164748","111306","1625400","7UDVY","13","10","469944","533177","-3","-63233","23","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""22"",""Q1"":""USA""}"
"ObjectId(""58e45c5cd46cc6fa347e6395"")","experiment","kilo","1","axis","longmire","4","6","4","9","1","327089","543862","335159","473570","817854","121913","3146162","R70BB","10","13","870951","808729","3","62222","24","{""Q0"":""Mandarin or Cantonese"",""Q1"":""First"",""Q2"":""Natural Sciences"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""19"",""Q1"":""China""}"
"ObjectId(""58e45c5cd46cc6fa347e6396"")","experiment","kilo","1","longmire","axis","4","6","0","8","2","105831","258747","251368","389793","142568","456845","1983799","220F7","10","8","364578","641161","-2","-276583","20","{""Q0"":""Spanish"",""Q1"":""First"",""Q2"":""Humanities"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""18"",""Q1"":""United States""}"
