_id,block,answer,correct,scaffold,question,scenario,graph,condition,session,experiment,subject,time_elapsed,trial_index,rt,rt_sec,q_order
"ObjectId(""58e45befd46cc6fa347e4c24"")",triangular_testing,3,0,none,start+duration,axis,triangular,1,mike,reverse,6Y878,546324,12,26719,27,8
"ObjectId(""58e45befd46cc6fa347e4c25"")",triangular_testing,E,0,none,during+overlap,axis,triangular,1,mike,reverse,6Y878,591670,13,44101,44,9
"ObjectId(""58e45befd46cc6fa347e4c26"")",triangular_testing,E,0,none,starts+finishes,axis,triangular,1,mike,reverse,6Y878,635596,14,42675,43,10
"ObjectId(""58e45befd46cc6fa347e4c27"")",triangular_testing,EL,0,none,meets,axis,triangular,1,mike,reverse,6Y878,736035,15,99047,99,11
"ObjectId(""58e45befd46cc6fa347e4c28"")",triangular_testing,O,0,none,finishes,axis,triangular,1,mike,reverse,6Y878,770901,16,33550,34,12
"ObjectId(""58e45befd46cc6fa347e4c29"")",triangular_testing,MO,0,none,contain+duration,axis,triangular,1,mike,reverse,6Y878,809533,17,37384,37,13
"ObjectId(""58e45befd46cc6fa347e4c2a"")",triangular_testing,F,0,none,before+overlap,axis,triangular,1,mike,reverse,6Y878,830375,18,19596,20,14
"ObjectId(""58e45befd46cc6fa347e4c2b"")",triangular_testing,,0,none,overlap+overlap,axis,triangular,1,mike,reverse,6Y878,839816,19,8181,8,15
"ObjectId(""58e45befd46cc6fa347e4c2c"")",linear_scaffolded,CL,0,describe-what,start,longmire,linear,1,mike,reverse,6Y878,895315,21,34492,34,1
"ObjectId(""58e45befd46cc6fa347e4c2d"")",linear_scaffolded,HJKLMNO,1,describe-what,end,longmire,linear,1,mike,reverse,6Y878,925531,22,28962,29,2
"ObjectId(""58e45befd46cc6fa347e4c2e"")",linear_scaffolded,GO,1,describe-what,duration,longmire,linear,1,mike,reverse,6Y878,952509,23,25726,26,3
"ObjectId(""58e45befd46cc6fa347e4c2f"")",linear_scaffolded,1,1,describe-what,midpoint,longmire,linear,1,mike,reverse,6Y878,970858,24,17094,17,4
"ObjectId(""58e45befd46cc6fa347e4c30"")",linear_scaffolded,A,1,describe-what,start+overlap,longmire,linear,1,mike,reverse,6Y878,982411,25,10298,10,5
"ObjectId(""58e45befd46cc6fa347e4c31"")",linear_testing,K,0,none,during+overlap,longmire,linear,1,mike,reverse,6Y878,1004968,26,21304,21,6
"ObjectId(""58e45befd46cc6fa347e4c32"")",linear_testing,ABDF,1,none,start+duration,longmire,linear,1,mike,reverse,6Y878,1032330,27,26105,26,7
"ObjectId(""58e45befd46cc6fa347e4c33"")",linear_testing,C,0,none,during,longmire,linear,1,mike,reverse,6Y878,1052207,28,18612,19,8
"ObjectId(""58e45befd46cc6fa347e4c34"")",linear_testing,C,1,none,starts+finishes,longmire,linear,1,mike,reverse,6Y878,1065427,29,11968,12,9
"ObjectId(""58e45befd46cc6fa347e4c35"")",linear_testing,AF,0,none,before+overlap,longmire,linear,1,mike,reverse,6Y878,1082303,30,15623,16,10
"ObjectId(""58e45befd46cc6fa347e4c36"")",linear_testing,GO,1,none,contain+duration,longmire,linear,1,mike,reverse,6Y878,1102371,31,18818,19,11
"ObjectId(""58e45befd46cc6fa347e4c37"")",linear_testing,4,0,none,finishes,longmire,linear,1,mike,reverse,6Y878,1114536,32,10910,11,12
"ObjectId(""58e45befd46cc6fa347e4c38"")",linear_testing,MN,0,none,overlap+overlap,longmire,linear,1,mike,reverse,6Y878,1129393,33,13602,14,13
"ObjectId(""58e45befd46cc6fa347e4c39"")",linear_testing,O,1,none,meets,longmire,linear,1,mike,reverse,6Y878,1145180,34,14529,15,14
"ObjectId(""58e45befd46cc6fa347e4c3a"")",linear_testing,8,0,none,starts,longmire,linear,1,mike,reverse,6Y878,1156036,35,9596,10,15
"ObjectId(""58e45befd46cc6fa347e4c3c"")",drawingTest,G3,0,none,duration,jones,none,1,mike,reverse,6Y878,1554115,38,328902,329,
"ObjectId(""58e45befd46cc6fa347e4c3d"")",drawingTest,Chris3-4pm,1,none,overlap,jones,none,1,mike,reverse,6Y878,1596543,39,41084,41,
"ObjectId(""58e45befd46cc6fa347e4c3e"")",linear_scaffolded,HO,1,describe-how,start,axis,linear,2,mike,experiment,GP70L,356506,5,29186,29,1
"ObjectId(""58e45befd46cc6fa347e4c3f"")",linear_scaffolded,4,1,describe-how,end,axis,linear,2,mike,experiment,GP70L,366914,6,9157,9,2
"ObjectId(""58e45befd46cc6fa347e4c40"")",linear_scaffolded,AEGHIL,0,describe-how,duration,axis,linear,2,mike,experiment,GP70L,410099,7,41943,42,3
"ObjectId(""58e45befd46cc6fa347e4c41"")",linear_scaffolded,10,0,describe-how,midpoint,axis,linear,2,mike,experiment,GP70L,442531,8,31183,31,4
"ObjectId(""58e45befd46cc6fa347e4c42"")",linear_scaffolded,7,1,describe-how,start+overlap,axis,linear,2,mike,experiment,GP70L,463693,9,19918,20,5
"ObjectId(""58e45befd46cc6fa347e4c43"")",linear_testing,G,1,none,meets,axis,linear,2,mike,experiment,GP70L,500384,10,35444,35,6
"ObjectId(""58e45befd46cc6fa347e4c44"")",linear_testing,FMO,0,none,before+overlap,axis,linear,2,mike,experiment,GP70L,528633,11,27001,27,7
"ObjectId(""58e45befd46cc6fa347e4c45"")",linear_testing,GO,1,none,finishes,axis,linear,2,mike,experiment,GP70L,539693,12,9812,10,8
"ObjectId(""58e45befd46cc6fa347e4c46"")",linear_testing,ABCEFJ,0,none,overlap+overlap,axis,linear,2,mike,experiment,GP70L,568075,13,27134,27,9
"ObjectId(""58e45befd46cc6fa347e4c47"")",linear_testing,9,1,none,start+duration,axis,linear,2,mike,experiment,GP70L,595963,14,26643,27,10
"ObjectId(""58e45befd46cc6fa347e4c48"")",linear_testing,A,1,none,during+overlap,axis,linear,2,mike,experiment,GP70L,616406,15,19197,19,11
"ObjectId(""58e45befd46cc6fa347e4c49"")",linear_testing,6,1,none,starts,axis,linear,2,mike,experiment,GP70L,644241,16,26594,27,12
"ObjectId(""58e45befd46cc6fa347e4c4a"")",linear_testing,G,1,none,starts+finishes,axis,linear,2,mike,experiment,GP70L,663254,17,17758,18,13
"ObjectId(""58e45befd46cc6fa347e4c4b"")",linear_testing,FMO,1,none,during,axis,linear,2,mike,experiment,GP70L,687068,18,22563,23,14
"ObjectId(""58e45befd46cc6fa347e4c4c"")",linear_testing,DMNO,1,none,contain+duration,axis,linear,2,mike,experiment,GP70L,720468,19,32145,32,15
"ObjectId(""58e45befd46cc6fa347e4c4d"")",triangular_scaffolded,D,0,describe-how,start,longmire,triangular,2,mike,experiment,GP70L,840024,21,104671,105,1
"ObjectId(""58e45befd46cc6fa347e4c4e"")",triangular_scaffolded,EG,0,describe-how,end,longmire,triangular,2,mike,experiment,GP70L,857432,22,16062,16,2
"ObjectId(""58e45befd46cc6fa347e4c4f"")",triangular_scaffolded,GO,1,describe-how,duration,longmire,triangular,2,mike,experiment,GP70L,872887,23,14200,14,3
"ObjectId(""58e45befd46cc6fa347e4c50"")",triangular_scaffolded,1,1,describe-how,midpoint,longmire,triangular,2,mike,experiment,GP70L,889495,24,15355,15,4
"ObjectId(""58e45befd46cc6fa347e4c51"")",triangular_scaffolded,A,1,describe-how,start+overlap,longmire,triangular,2,mike,experiment,GP70L,907481,25,16734,17,5
"ObjectId(""58e45befd46cc6fa347e4c52"")",triangular_testing,O,1,none,meets,longmire,triangular,2,mike,experiment,GP70L,921521,26,12789,13,6
"ObjectId(""58e45befd46cc6fa347e4c53"")",triangular_testing,KL,1,none,during+overlap,longmire,triangular,2,mike,experiment,GP70L,977725,27,54942,55,7
"ObjectId(""58e45befd46cc6fa347e4c54"")",triangular_testing,45,1,none,finishes,longmire,triangular,2,mike,experiment,GP70L,1000917,28,21941,22,8
"ObjectId(""58e45befd46cc6fa347e4c55"")",triangular_testing,BCDFGHIJLO,0,none,during,longmire,triangular,2,mike,experiment,GP70L,1149850,29,147687,148,9
"ObjectId(""58e45befd46cc6fa347e4c56"")",triangular_testing,ABCDFI,1,none,before+overlap,longmire,triangular,2,mike,experiment,GP70L,1180333,30,29126,29,10
"ObjectId(""58e45befd46cc6fa347e4c57"")",triangular_testing,C,1,none,starts+finishes,longmire,triangular,2,mike,experiment,GP70L,1197373,31,15790,16,11
"ObjectId(""58e45befd46cc6fa347e4c58"")",triangular_testing,68,1,none,starts,longmire,triangular,2,mike,experiment,GP70L,1217654,32,19035,19,12
"ObjectId(""58e45befd46cc6fa347e4c59"")",triangular_testing,AMN,1,none,overlap+overlap,longmire,triangular,2,mike,experiment,GP70L,1242935,33,24037,24,13
"ObjectId(""58e45befd46cc6fa347e4c5a"")",triangular_testing,BF,0,none,contain+duration,longmire,triangular,2,mike,experiment,GP70L,1287478,34,43282,43,14
"ObjectId(""58e45befd46cc6fa347e4c5b"")",triangular_testing,ABDF,1,none,start+duration,longmire,triangular,2,mike,experiment,GP70L,1313548,35,24824,25,15
"ObjectId(""58e45befd46cc6fa347e4c5d"")",drawingTest,C1,1,none,duration,jones,none,2,mike,experiment,GP70L,1821353,38,206156,206,
"ObjectId(""58e45befd46cc6fa347e4c5e"")",drawingTest,Chris3-4pm,1,none,overlap,jones,none,2,mike,experiment,GP70L,1898605,39,75912,76,
"ObjectId(""58e45befd46cc6fa347e4c5f"")",triangular_scaffolded,HO,1,show-interactive,start,axis,triangular,4,mike,reverse,VVNY9,335927,5,24548,25,1
"ObjectId(""58e45befd46cc6fa347e4c60"")",triangular_scaffolded,4,1,show-interactive,end,axis,triangular,4,mike,reverse,VVNY9,345523,6,8339,8,2
"ObjectId(""58e45befd46cc6fa347e4c61"")",triangular_scaffolded,CFK,0,show-interactive,duration,axis,triangular,4,mike,reverse,VVNY9,362521,7,15706,16,3
"ObjectId(""58e45befd46cc6fa347e4c62"")",triangular_scaffolded,8,1,show-interactive,midpoint,axis,triangular,4,mike,reverse,VVNY9,391430,8,27664,28,4
"ObjectId(""58e45befd46cc6fa347e4c63"")",triangular_scaffolded,7,1,show-interactive,start+overlap,axis,triangular,4,mike,reverse,VVNY9,427161,9,34485,34,5
"ObjectId(""58e45befd46cc6fa347e4c64"")",triangular_testing,ABCEJ,1,none,overlap+overlap,axis,triangular,4,mike,reverse,VVNY9,465530,10,37122,37,6
"ObjectId(""58e45befd46cc6fa347e4c65"")",triangular_testing,6,1,none,starts,axis,triangular,4,mike,reverse,VVNY9,491122,11,24345,24,7
"ObjectId(""58e45befd46cc6fa347e4c66"")",triangular_testing,A,1,none,during+overlap,axis,triangular,4,mike,reverse,VVNY9,517115,12,24749,25,8
"ObjectId(""58e45befd46cc6fa347e4c67"")",triangular_testing,FMO,1,none,during,axis,triangular,4,mike,reverse,VVNY9,530836,13,12474,12,9
"ObjectId(""58e45befd46cc6fa347e4c68"")",triangular_testing,G,1,none,starts+finishes,axis,triangular,4,mike,reverse,VVNY9,542888,14,10807,11,10
"ObjectId(""58e45befd46cc6fa347e4c69"")",triangular_testing,G,1,none,meets,axis,triangular,4,mike,reverse,VVNY9,572090,15,27953,28,11
"ObjectId(""58e45befd46cc6fa347e4c6a"")",triangular_testing,FGMO,1,none,before+overlap,axis,triangular,4,mike,reverse,VVNY9,604706,16,31359,31,12
"ObjectId(""58e45befd46cc6fa347e4c6b"")",triangular_testing,9,1,none,start+duration,axis,triangular,4,mike,reverse,VVNY9,621057,17,15096,15,13
"ObjectId(""58e45befd46cc6fa347e4c6c"")",triangular_testing,DMNO,1,none,contain+duration,axis,triangular,4,mike,reverse,VVNY9,648549,18,26242,26,14
"ObjectId(""58e45befd46cc6fa347e4c6d"")",triangular_testing,GO,1,none,finishes,axis,triangular,4,mike,reverse,VVNY9,661407,19,11600,12,15
"ObjectId(""58e45befd46cc6fa347e4c6e"")",linear_scaffolded,CDL,1,show-interactive,start,longmire,linear,4,mike,reverse,VVNY9,697469,21,13752,14,1
"ObjectId(""58e45befd46cc6fa347e4c6f"")",linear_scaffolded,HJKLO,0,show-interactive,end,longmire,linear,4,mike,reverse,VVNY9,718717,22,20005,20,2
"ObjectId(""58e45befd46cc6fa347e4c70"")",linear_scaffolded,GO,1,show-interactive,duration,longmire,linear,4,mike,reverse,VVNY9,740578,23,20612,21,3
"ObjectId(""58e45befd46cc6fa347e4c71"")",linear_scaffolded,1,1,show-interactive,midpoint,longmire,linear,4,mike,reverse,VVNY9,752551,24,10724,11,4
"ObjectId(""58e45befd46cc6fa347e4c72"")",linear_scaffolded,A,1,show-interactive,start+overlap,longmire,linear,4,mike,reverse,VVNY9,767126,25,13332,13,5
"ObjectId(""58e45befd46cc6fa347e4c73"")",linear_testing,45,1,none,finishes,longmire,linear,4,mike,reverse,VVNY9,809577,26,41206,41,6
"ObjectId(""58e45befd46cc6fa347e4c74"")",linear_testing,68,1,none,starts,longmire,linear,4,mike,reverse,VVNY9,834401,27,23561,24,7
"ObjectId(""58e45befd46cc6fa347e4c75"")",linear_testing,,0,none,contain+duration,longmire,linear,4,mike,reverse,VVNY9,909288,28,73640,74,8
"ObjectId(""58e45befd46cc6fa347e4c76"")",linear_testing,AMN,1,none,overlap+overlap,longmire,linear,4,mike,reverse,VVNY9,942842,29,32203,32,9
"ObjectId(""58e45befd46cc6fa347e4c77"")",linear_testing,C,1,none,starts+finishes,longmire,linear,4,mike,reverse,VVNY9,958790,30,14637,15,10
"ObjectId(""58e45befd46cc6fa347e4c78"")",linear_testing,ABDF,1,none,start+duration,longmire,linear,4,mike,reverse,VVNY9,985299,31,25252,25,11
"ObjectId(""58e45befd46cc6fa347e4c79"")",linear_testing,ABCDFI,1,none,before+overlap,longmire,linear,4,mike,reverse,VVNY9,1025724,32,39173,39,12
"ObjectId(""58e45befd46cc6fa347e4c7a"")",linear_testing,KL,1,none,during+overlap,longmire,linear,4,mike,reverse,VVNY9,1057916,33,30940,31,13
"ObjectId(""58e45befd46cc6fa347e4c7b"")",linear_testing,BCDFGHIJLO,0,none,during,longmire,linear,4,mike,reverse,VVNY9,1179672,34,120498,120,14
"ObjectId(""58e45befd46cc6fa347e4c7c"")",linear_testing,O,1,none,meets,longmire,linear,4,mike,reverse,VVNY9,1208009,35,26982,27,15
"ObjectId(""58e45befd46cc6fa347e4c7e"")",drawingTest,C1,1,none,duration,jones,none,4,mike,reverse,VVNY9,1893323,38,55783,56,
"ObjectId(""58e45befd46cc6fa347e4c7f"")",drawingTest,Chris3-4pm,1,none,overlap,jones,none,4,mike,reverse,VVNY9,1911183,39,16604,17,
"ObjectId(""58e45befd46cc6fa347e4c80"")",triangular_scaffolded,CDL,1,none,start,longmire,triangular,0,mike,reverse,7L5E7,368437,5,67655,68,1
"ObjectId(""58e45befd46cc6fa347e4c81"")",triangular_scaffolded,HJKLMNO,1,none,end,longmire,triangular,0,mike,reverse,7L5E7,430650,6,60878,61,2
"ObjectId(""58e45befd46cc6fa347e4c82"")",triangular_scaffolded,GO,1,none,duration,longmire,triangular,0,mike,reverse,7L5E7,445090,7,13112,13,3
"ObjectId(""58e45befd46cc6fa347e4c83"")",triangular_scaffolded,1,1,none,midpoint,longmire,triangular,0,mike,reverse,7L5E7,469979,8,23640,24,4
"ObjectId(""58e45befd46cc6fa347e4c84"")",triangular_scaffolded,A,1,none,start+overlap,longmire,triangular,0,mike,reverse,7L5E7,516750,9,45512,46,5
"ObjectId(""58e45befd46cc6fa347e4c85"")",triangular_testing,ABDF,1,none,start+duration,longmire,triangular,0,mike,reverse,7L5E7,557873,10,39872,40,6
"ObjectId(""58e45befd46cc6fa347e4c86"")",triangular_testing,68,1,none,starts,longmire,triangular,0,mike,reverse,7L5E7,588364,11,29244,29,7
"ObjectId(""58e45befd46cc6fa347e4c87"")",triangular_testing,AMN,1,none,overlap+overlap,longmire,triangular,0,mike,reverse,7L5E7,623562,12,33954,34,8
"ObjectId(""58e45befd46cc6fa347e4c88"")",triangular_testing,O,1,none,meets,longmire,triangular,0,mike,reverse,7L5E7,649187,13,24374,24,9
"ObjectId(""58e45befd46cc6fa347e4c89"")",triangular_testing,ABCDFI,1,none,before+overlap,longmire,triangular,0,mike,reverse,7L5E7,711070,14,60636,61,10
