dbid,subject,experiment,session,condition,lm_scenarios,tm_scenarios,ls_n,lt_n,ts_n,tt_n,d_n,ls_t,lt_t,ts_t,tt_t,d_t,d_t_2,linear_time,triangular_time,draw_time,totalTime,LM_T_M,TM_T_M,DT_T_M,TOTAL_T_M,DIFF_T_M,linear_score,triangular_score,score_diff,time_diff,totalScore,AGE,COUNTRY,LANGUAGE,EDUCATION,MAJOR,GENDER,PREFERENCE,FLAG
58e45f47d46cc6fa347ea5d2,0UUFC,experiment,bravo,3,longmire,axis,4,5,2,6,1,133750,894922,242399,458259,135794,883766,1028672,700658,1019560,3059086,17.14,11.68,16.99,50.98,5.47,9,8,-1,328014,18,19,USA,English,Second,Social Sciences (incl. CogSci),Female,the first one (linear,
58e45f47d46cc6fa347ea5d4,ZNUEO,experiment,bravo,2,axis,longmire,5,8,5,9,2,232809,383135,268736,479839,203246,608330,615944,748575,811576,2515649,10.27,12.48,13.53,41.93,-2.21,13,14,1,-132631,29,22,USA,English,Fifth,Natural Sciences,Male,the first one (linear,
58e45f47d46cc6fa347ea5d5,5ZV2X,experiment,bravo,2,axis,longmire,3,7,2,5,2,244860,321167,253429,370941,113733,726536,566027,624370,840269,2492380,9.43,10.41,14.00,41.54,-0.97,10,7,-3,-58343,19,20,USA,Spanish,Third,Biomedical & Health Sciences,Female,the second one (triangular),
58e45f47d46cc6fa347ea5d6,1129F,experiment,bravo,3,axis,longmire,2,2,3,2,2,136471,117408,125942,224296,86567,326123,253879,350238,412690,1528455,4.23,5.84,6.88,25.47,-1.61,4,5,1,-96359,11,21,China,English,Fourth,Biomedical & Health Sciences,Female,the first one (linear,
58e45f47d46cc6fa347ea5d9,JYJXS,reverse,bravo,2,axis,longmire,4,9,5,10,2,126575,328198,153803,358266,77358,837294,454773,512069,914652,2223070,7.58,8.53,15.24,37.05,-0.95,13,15,2,-57296,30,22,USA,Other,Third,Biomedical & Health Sciences,Female,the second one (triangular),
58e45f47d46cc6fa347ea5da,76WFU,reverse,bravo,3,axis,longmire,4,7,2,7,1,167692,405082,114181,509789,268064,771629,572774,623970,1039693,2609087,9.55,10.40,17.33,43.48,-0.85,11,9,-2,-51196,21,24,USA,English,Fourth,Social Sciences (incl. CogSci),Female,the first one (linear,
58e45f47d46cc6fa347ea5db,N5CZB,reverse,bravo,2,longmire,axis,5,8,3,7,1,135563,268022,342299,401234,144809,532121,403585,743533,676930,2508585,6.73,12.39,11.28,41.81,-5.67,13,10,-3,-339948,24,21,China,Mandarin or Cantonese,Third,Social Sciences (incl. CogSci),Male,the first one (linear,
58e45f47d46cc6fa347ea5dc,FSJAY,reverse,bravo,2,axis,longmire,5,8,4,7,2,174007,467129,261624,581978,207667,735438,641136,843602,943105,3082170,10.69,14.06,15.72,51.37,-3.37,13,11,-2,-202466,26,22,USA,English,Fourth,Math or Computer Sciences,Male,the first one (linear,
58e45f47d46cc6fa347ea5de,A5G40,experiment,bravo,2,longmire,axis,4,4,1,0,0,125323,424809,145575,164426,23756,468314,550132,310001,492070,1732827,9.17,5.17,8.20,28.88,4.00,8,1,-7,240131,9,21,China,Mandarin or Cantonese,Fourth,Social Sciences (incl. CogSci),Male,the first one (linear,
58e45f47d46cc6fa347ea5df,9T9QO,experiment,bravo,2,longmire,axis,3,7,3,8,2,128517,433704,179384,323797,117300,889754,562221,503181,1007054,2356673,9.37,8.39,16.78,39.28,0.98,10,11,1,59040,23,21,USA,English,Fourth,Social Sciences (incl. CogSci),Female,the first one (linear,
58e45f47d46cc6fa347ea5e1,CHZCL,reverse,bravo,2,axis,longmire,5,6,5,5,1,150918,320738,203809,527189,185422,979986,471656,730998,1165408,2660271,7.86,12.18,19.42,44.34,-4.32,11,10,-1,-259342,22,18,USA,English,First,Biomedical & Health Sciences,Female,the first one (linear,
