dbid		experiment	session	condition	lm_scenarios	tm_scenarios	ls_n	lt_n	ts_n	tt_n	d_n	ls_t	lt_t	ts_t	tt_t	d_t	draw_t	totalTime	TOTAL_T_M	LM_T_M	TM_T_M	D_T_M	DIFF_T_M	subject	linear_score	triangular_score	linear_time	triangular_time	score_diff	time_diff	totalScore	AGE	COUNTRY	LANGUAGE	EDUCATION	MAJOR	GENDER	PREFERENCE			
58e45f84d46cc6fa347eac22		reverse	alfa	0	axis	longmire	3	5	3	2	0	90724	223627	73739	291109	100545	349132	1352540	22.54	5.24	6.08	7.49	-0.84	1TL49	8	5	314351	364848	-3	-50497	13	19	USA	English	Second	Social Sciences (incl. CogSci)	Female	the first one (linear			
58e45f84d46cc6fa347eac23		experiment	alfa	3	axis	longmire	5	8	4	10	2	150219	300856	160929	422574	288012	741116	2815590	46.93	7.52	9.73	17.15	-2.21	K4PCN	13	14	451075	583503	1	-132428	29	21	China	Mandarin or Cantonese	Third	Math or Computer Sciences	Female	the first one (linear			
58e45f84d46cc6fa347eac24		reverse	alfa	0	axis	longmire	4	6	5	9	1	77523	263854	95830	245327	419969	379690	1811499	30.19	5.69	5.69	13.33	0	S7D7C	10	14	341377	341157	4	220	25	21	USA	English	Fourth	Social Sciences (incl. CogSci)	Female	the first one (linear			
58e45f84d46cc6fa347eac25		reverse	alfa	0	axis	longmire	5	8	4	8	2	129529	380276	221921	321893	88726	668534	2119895	35.33	8.5	9.06	12.62	-0.57	RGU59	13	12	509805	543814	-1	-34009	27	18	USA	English	First	Social Sciences (incl. CogSci)	Female	the first one (linear			
58e45f84d46cc6fa347eac26		reverse	alfa	0	axis	longmire	5	8	2	4	1	100127	184859	185634	587097	36961	413586	1782457	29.71	4.75	12.88	7.51	-8.13	WCPQA	13	6	284986	772731	-7	-487745	20	20	USA	Other	Third	Biomedical & Health Sciences	Female	the first one (linear			
58e45f84d46cc6fa347eac27		experiment	alfa	2	longmire	axis	3	8	3	9	2	63703	286471	164220	215431	120791	372105	1436835	23.95	5.84	6.33	8.21	-0.49	HF8PP	11	12	350174	379651	1	-29477	25	20	USA	English	Third	Math or Computer Sciences	Male	the second one (triangular)			
58e45f84d46cc6fa347eac28		experiment	alfa	3	longmire	axis	2	3	3	3	0	85259	241746	143879	179775	206197	146521	1321572	22.03	5.45	5.39	5.88	0.06	E8DLP	5	6	327005	323654	1	3351	11	19	TURKEY	Other	First	Natural Sciences	Female	the first one (linear			
58e45f47d46cc6fa347ea5d2		experiment	bravo	3	longmire	axis	4	5	2	6	1	133750	894922	242399	458259	135794	883766	3059086	50.98	17.14	11.68	16.99	5.47	0UUFC	9	8	1028672	700658	-1	328014	18	19	USA	English	Second	Social Sciences (incl. CogSci)	Female	the first one (linear			
58e45f47d46cc6fa347ea5d3		reverse	bravo	4	longmire	axis	4	8	2	7	0	197706	596759	202481	476227	334796	396918	2644837	44.08	13.24	11.31	12.2	1.93	3FDVP	12	9	794465	678708	-3	115757	21	20	Mexico	Spanish	Third	Humanities	Female	the second one (triangular)			
58e45f47d46cc6fa347ea5d4		experiment	bravo	2	axis	longmire	5	8	5	9	2	232809	383135	268736	479839	203246	608330	2515649	41.93	10.27	12.48	13.53	-2.21	ZNUEO	13	14	615944	748575	1	-132631	29	22	USA	English	Fifth	Natural Sciences	Male	the first one (linear			
58e45f47d46cc6fa347ea5d5		experiment	bravo	2	axis	longmire	3	7	2	5	2	244860	321167	253429	370941	113733	726536	2492380	41.54	9.43	10.41	14	-0.97	5ZV2X	10	7	566027	624370	-3	-58343	19	20	USA	Spanish	Third	Biomedical & Health Sciences	Female	the second one (triangular)			
58e45f47d46cc6fa347ea5d6		experiment	bravo	3	axis	longmire	2	2	3	2	2	136471	117408	125942	224296	86567	326123	1528455	25.47	4.23	5.84	6.88	-1.61	1129F	4	5	253879	350238	1	-96359	11	21	China	English	Fourth	Biomedical & Health Sciences	Female	the first one (linear			
58e45f47d46cc6fa347ea5d7		reverse	bravo	4	axis	longmire	5	7	5	9	2	180266	378557	159493	621545	123174	487564	2456733	40.95	9.31	13.02	10.18	-3.7	8BN4N	12	14	558823	781038	2	-222215	28	20	Bulgaria	Other	Second	Social Sciences (incl. CogSci)	Female	the first one (linear			
58e45f47d46cc6fa347ea5d8		experiment	bravo	4	longmire	axis	4	6	3	9	2	133769	442125	229269	311451	143956	381497	2116908	35.28	9.6	9.01	8.76	0.59	OA5JN	10	12	575894	540720	2	35174	24	21	USA	English	Fourth	Natural Sciences	Male	the second one (triangular)			
58e45f47d46cc6fa347ea5d9		reverse	bravo	2	axis	longmire	4	9	5	10	2	126575	328198	153803	358266	77358	837294	2223070	37.05	7.58	8.53	15.24	-0.95	JYJXS	13	15	454773	512069	2	-57296	30	22	USA	Other	Third	Biomedical & Health Sciences	Female	the second one (triangular)			
58e45f47d46cc6fa347ea5da		reverse	bravo	3	axis	longmire	4	7	2	7	1	167692	405082	114181	509789	268064	771629	2609087	43.48	9.55	10.4	17.33	-0.85	76WFU	11	9	572774	623970	-2	-51196	21	24	USA	English	Fourth	Social Sciences (incl. CogSci)	Female	the first one (linear			
58e45f47d46cc6fa347ea5db		reverse	bravo	2	longmire	axis	5	8	3	7	1	135563	268022	342299	401234	144809	532121	2508585	41.81	6.73	12.39	11.28	-5.67	N5CZB	13	10	403585	743533	-3	-339948	24	21	China	Mandarin or Cantonese	Third	Social Sciences (incl. CogSci)	Male	the first one (linear			
58e45f47d46cc6fa347ea5dc		reverse	bravo	2	axis	longmire	5	8	4	7	2	174007	467129	261624	581978	207667	735438	3082170	51.37	10.69	14.06	15.72	-3.37	FSJAY	13	11	641136	843602	-2	-202466	26	22	USA	English	Fourth	Math or Computer Sciences	Male	the first one (linear			
58e45f47d46cc6fa347ea5dd		reverse	bravo	4	longmire	axis	4	4	3	6	1	93085	324819	206278	333625	732820	144397	2379389	39.66	6.97	9	14.62	-2.03	XDT95	8	9	417904	539903	1	-121999	18	22	USA	Spanish	Fourth	Biomedical & Health Sciences	Female	the second one (triangular)			
